power_demand_MWh,is_weekend,hour_sin,hour_cos,resident_pop,working_pop,visitor_pop,total_visitors,renewable_energy_mwh,TA_mean,HM_mean,HM_max,tropical_night,CDD,power_1h,power_24h,power_48h,power_168h
537.796,0,0.0,1.0,137664.0,17839.0,68980.0,32603.0,140.68,20.125,84.25,94.0,0,0.0,581.418,554.165,546.645,565.718
509.852,0,0.25881904510252074,0.9659258262890683,137664.0,17839.0,68980.0,32603.0,127.55999999999999,20.05,85.75,96.0,0,0.0,537.796,520.87,513.702,532.895
488.905,0,0.49999999999999994,0.8660254037844387,137664.0,17839.0,68980.0,32603.0,126.69999999999999,19.85,85.5,96.0,0,0.0,509.852,502.563,493.97,511.896
479.2,0,0.7071067811865475,0.7071067811865476,137664.0,17839.0,68980.0,32603.0,121.11999999999999,19.775,85.75,98.0,0,0.0,488.905,492.517,482.88,500.607
480.823,0,0.8660254037844386,0.5000000000000001,137664.0,17839.0,68980.0,32603.0,109.05,19.825,87.5,99.0,0,0.0,479.2,492.295,479.191,499.947
489.976,0,0.9659258262890683,0.25881904510252074,137664.0,17839.0,68980.0,32603.0,73.03,19.5,89.25,99.0,0,0.0,480.823,494.002,485.779,503.889
518.317,0,1.0,6.123233995736766e-17,137664.0,17839.0,68980.0,32603.0,94.28,19.625,89.0,99.0,0,0.0,489.976,523.175,516.532,530.632
555.337,0,0.9659258262890683,-0.25881904510252063,137664.0,17839.0,68980.0,32603.0,100.87,20.75,84.5,96.0,0,0.0,518.317,564.683,569.181,579.083
591.255,0,0.8660254037844387,-0.4999999999999998,137664.0,17839.0,68980.0,32603.0,130.64,21.3,82.25,94.0,0,0.0,555.337,613.204,632.975,649.454
616.799,0,0.7071067811865476,-0.7071067811865475,137664.0,17839.0,68980.0,32603.0,168.94,22.225,76.75,91.0,0,0.0,591.255,642.605,672.276,692.035
619.871,0,0.49999999999999994,-0.8660254037844387,137664.0,17839.0,68980.0,32603.0,214.09,22.875,74.75,90.0,0,0.0,616.799,649.083,690.814,714.696
608.356,0,0.258819045102521,-0.9659258262890682,137664.0,17839.0,68980.0,32603.0,263.19,23.075,75.0,90.0,0,0.0,619.871,640.691,699.078,716.474
595.784,0,1.2246467991473532e-16,-1.0,137664.0,17839.0,68980.0,32603.0,262.51,23.675,72.0,86.0,0,0.0,608.356,622.869,707.618,720.169
610.274,0,-0.2588190451025208,-0.9659258262890683,137664.0,17839.0,68980.0,32603.0,250.32999999999998,24.375,69.0,85.0,0,0.0,595.784,624.086,725.554,738.024
616.095,0,-0.4999999999999997,-0.8660254037844388,137664.0,17839.0,68980.0,32603.0,222.29000000000002,25.2,67.0,82.0,0,0.0,610.274,637.835,728.214,738.667
625.828,0,-0.7071067811865471,-0.7071067811865479,137664.0,17839.0,68980.0,32603.0,173.5,24.625,71.0,86.0,0,0.0,616.095,640.553,717.542,735.913
644.951,0,-0.8660254037844384,-0.5000000000000004,137664.0,17839.0,68980.0,32603.0,126.85000000000001,24.3,71.5,87.0,0,0.0,625.828,647.85,717.964,724.676
659.354,0,-0.9659258262890683,-0.25881904510252063,137664.0,17839.0,68980.0,32603.0,74.61,24.175,70.25,87.0,0,0.0,644.951,654.684,725.099,726.846
666.234,0,-1.0,-1.8369701987210297e-16,137664.0,17839.0,68980.0,32603.0,28.240000000000002,23.775,71.0,89.0,0,0.0,659.354,656.319,725.224,716.933
677.332,0,-0.9659258262890684,0.2588190451025203,137664.0,17839.0,68980.0,32603.0,17.48,22.85,69.75,87.0,0,0.0,666.234,664.264,727.02,719.915
677.718,0,-0.8660254037844386,0.5000000000000001,137664.0,17839.0,68980.0,32603.0,9.5,22.025,73.25,87.0,0,0.0,677.332,664.931,717.602,715.607
653.867,0,-0.7071067811865477,0.7071067811865474,137664.0,17839.0,68980.0,32603.0,9.45,21.725,72.5,82.0,0,0.0,677.718,641.746,681.058,681.861
618.03,0,-0.5000000000000004,0.8660254037844384,137664.0,17839.0,68980.0,32603.0,6.569999999999999,21.475,72.25,80.0,0,0.0,653.867,608.882,642.351,644.154
591.111,0,-0.25881904510252157,0.9659258262890681,137664.0,17839.0,68980.0,32603.0,7.720000000000001,20.775,78.25,87.0,0,0.0,618.03,581.418,603.753,612.077
547.208,0,0.0,1.0,140292.0,19366.0,108631.0,32466.0,6.12,20.65,75.5,80.0,0,0.0,591.111,537.796,554.165,563.546
